"","PID","Date","Start_Time","End_Time","Condition","Trial","Stimulus","Choice","IntBefore","IntAfter","ERQ_Supp","ERQ_Reapp","DERS","DERS_Nonaccept","DERS_Goals","DERS_Impulse","DERS_Awareness","DERS_Strategies","DERS_Clarity","IUS","IUS_F1","IUS_F2","Horror_Enjoy","Familiarity","Familiar_specific","Age","Gender_Identity","Sex","Race","Marital_Status","Edu_Num","Edu_Cat","Failures","ScreenWidth","ScreenHeight","WebAudio","Browser","Browser_Version","MobileUsed","OS","FullScreenUsed","VSync_Rate_Avg","VSync_Rate_SD","Attention_Check","Difficulties","Questions","RT_sec_Choice","RT_sec_IntBefore","RT_sec_IntAfter","RT_sec_ERQ","RT_sec_DERS","RT_sec_IUS","IntReduce","Effort","Success","RT_sec_IntReduce","RT_sec_Effort","RT_sec_Success","Income","Time_Taken"
"1","sub-001","2023-10-12","9:45:42","10:12:24","Strategy Use",1,"FGV3524","Neither","0","3",18,30,59,15,5,2,19,9,9,30,22,8,3,"No",NA,"44","Female","Female","White or Caucasian","Divorced","17","$50,001 - $75,000",FALSE,1920,NA,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.42,0.342782730020051,4,"","",6.587,5.104,9.097,112.256,152.937,33.279,NA,NA,NA,NA,NA,NA,NA,1602
"2","sub-001","2023-10-12","9:45:42","10:12:24","Strategy Use",2,"CNL1892","Neither","0","5",18,30,59,15,5,2,19,9,9,30,22,8,3,"No",NA,"44","Female","Female","White or Caucasian","Divorced","17","$50,001 - $75,000",FALSE,1920,NA,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.42,0.342782730020051,4,"","",1.159,5.413,5.277,112.256,152.937,33.279,NA,NA,NA,NA,NA,NA,NA,1602
"3","sub-001","2023-10-12","9:45:42","10:12:24","Strategy Use",3,"ARF1665","Neither","0","0",18,30,59,15,5,2,19,9,9,30,22,8,3,"No",NA,"44","Female","Female","White or Caucasian","Divorced","17","$50,001 - $75,000",FALSE,1920,NA,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.42,0.342782730020051,4,"","",0.696,5.15,10.181,112.256,152.937,33.279,NA,NA,NA,NA,NA,NA,NA,1602
"4","sub-001","2023-10-12","9:45:42","10:12:24","Strategy Use",4,"HIU8424","Neither","0","2",18,30,59,15,5,2,19,9,9,30,22,8,3,"No",NA,"44","Female","Female","White or Caucasian","Divorced","17","$50,001 - $75,000",FALSE,1920,NA,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.42,0.342782730020051,4,"","",0.654,6.33,7.94,112.256,152.937,33.279,NA,NA,NA,NA,NA,NA,NA,1602
"9","sub-002","2023-10-12","11:20:9","11:37:47","Strategy Use",1,"ARF1665","Distraction","0","66",4,29,52,6,9,4,19,7,7,12,10,2,2,"No",NA,"50","Female","Female","Hispanic or Latino","Married","19","Over $150,000",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.214,0.334409928082287,4,"no","no",5.538,13.776,15.196,35.397,127.309,35.927,"56",1,5,9.3,10.44,3.387,NA,1058
"10","sub-002","2023-10-12","11:20:9","11:37:47","Strategy Use",2,"FGV3524","Neither","0","56",4,29,52,6,9,4,19,7,7,12,10,2,2,"No",NA,"50","Female","Female","Hispanic or Latino","Married","19","Over $150,000",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.214,0.334409928082287,4,"no","no",4.604,16.188,13.362,35.397,127.309,35.927,NA,NA,NA,NA,NA,NA,NA,1058
"11","sub-002","2023-10-12","11:20:9","11:37:47","Strategy Use",3,"CNL1892","Neither","1","45",4,29,52,6,9,4,19,7,7,12,10,2,2,"No",NA,"50","Female","Female","Hispanic or Latino","Married","19","Over $150,000",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.214,0.334409928082287,4,"no","no",4.012,12.15,20.547,35.397,127.309,35.927,NA,NA,NA,NA,NA,NA,NA,1058
"12","sub-002","2023-10-12","11:20:9","11:37:47","Strategy Use",4,"HIU8424","Distraction","0","57",4,29,52,6,9,4,19,7,7,12,10,2,2,"No",NA,"50","Female","Female","Hispanic or Latino","Married","19","Over $150,000",FALSE,1920,1080,TRUE,"chrome","117.0.0",FALSE,"Windows 10",TRUE,60.214,0.334409928082287,4,"no","no",2.354,8.581,18.475,35.397,127.309,35.927,"44",2,2,7.534,4.153,3.191,NA,1058
"13","sub-003","2023-10-12","11:26:14","11:47:5","Strategy Forecast",1,"CNL1892","Reappraisal","5","10",13,29,50,5,6,3,26,6,4,13,13,0,2,"No",NA,"59","Male","Male","White or Caucasian","Single","11","$15,001 - $25,000",FALSE,1536,864,TRUE,"chrome","117.0.0",FALSE,"Chrome OS",TRUE,61.13,0.359513560244952,4,"none","none",16.714,25.658,13.068,52.61,134.715,48.727,"90",1,5,16.042,21.875,6.122,NA,1251
"14","sub-003","2023-10-12","11:26:14","11:47:5","Strategy Forecast",2,"HIU8424","Reappraisal","4","10",13,29,50,5,6,3,26,6,4,13,13,0,2,"No",NA,"59","Male","Male","White or Caucasian","Single","11","$15,001 - $25,000",FALSE,1536,864,TRUE,"chrome","117.0.0",FALSE,"Chrome OS",TRUE,61.13,0.359513560244952,4,"none","none",10.395,7.997,8.403,52.61,134.715,48.727,"73",2,5,11.697,5.146,3.104,NA,1251
