"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","task","condition","rt","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","stimulus","response"
"pavlovia_init","pavlovia","0","1116","0.0-0.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","","","","","","","","","","","","","","","","",""
"","preload","1","1257","0.0-1.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","true","false","[]","[]","[]","Preload","Forecast","","","","","","","","","","","","","","",""
"","fullscreen","2","5711","0.0-2.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","true","","","","","Fullscreen","","3447","22:35:47","","","","","","","","","","","","",""
"","browser-check","3","6704","0.0-3.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","Browser_Check","","","","1440","900","true","chrome","116.0.0","false","Mac OS","true","60.92","true","true","",""
"","html-keyboard-response","4","11596","0.0-4.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","Instruction","","4891","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">During this experiment, you will watch a set of movie clips. You will also answer questions about your experience after watching each clip. <br><br><br> <strong><i>Please be aware</i> that these movie clips are sourced from horror films and may contain mature language, gore, violence, mutilation, and/or harm to oneself or others.</strong> <br><br><br> If you are not comfortable with continuing, please exit this experiment now and \""return\"" your participation on Prolific. <br><br><br><br> Otherwise, please press the <strong>SPACE BAR</strong> to continue</p>""]"," "
"","image-button-response","5","26839","0.0-5.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","Consent","","15240","","","","","","","","","","","","","components/consent/consent.png","0"
"","html-keyboard-response","6","27655","0.0-6.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","Instr_Task","","815","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Thank you for agreeing to participate in this experiment! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," "
"","html-keyboard-response","7","30146","0.0-7.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","Instr_Task","","2490","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Before we begin, please be sure that you are in a good space to complete the experiment. This space should be: <br><br><br><br> <strong>Comfortable <br><br> Distraction-free <br><br> Available for the next 20 minutes</strong> <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," "
"","html-keyboard-response","8","30771","0.0-8.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","Instr_Task","","625","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;""><strong>Please give your full attention to the experiment. This includes:</strong> <br><br><br><br> Closing or minimizing other programs on your computer <br><br> Silencing your phone or placing it somewhere it will not be distracting <br><br> Testing that your audio is working and set to a comfortable volume that you can clearly hear <br><br> Not completing this experiment with others present <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," "
"","html-keyboard-response","9","31232","0.0-9.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","Instr_Task","","460","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">During this experiment, you will watch four short clips from horror movies. These clips may elicit some negative or unwanted emotional reactions. <br><br><br> <strong> Please watch and react to these clips as you naturally would</strong>. Before and after every clip, you will record the intensity of your negative emotions. You will also answer questions regarding your thoughts, behaviors, or experiences after watching all of the clips. <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," "
"","html-keyboard-response","10","31678","0.0-10.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","Instr_ExpStart","","445","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">The experiment will now start! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>""]"," "
"","browser-check","11","32670","0.0-11.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","Browser_Check","","","","1440","900","true","chrome","116.0.0","false","Mac OS","true","60.74","true","true","",""
"","html-keyboard-response","12","33124","0.0-12.0","60ffc920d214a4c8b242e4f0","652d46c8909a0ef52332ec58","652e18159ea603912937dde8","","","","","","Instr_Reminder","","454","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">You will now watch one of the clips. <br><br><br> As a reminder, watch and react to this video <strong>as you naturally would</strong>.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue.</p>""]"," "
