"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","task","condition","rt","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","stimulus","response","slider_start","labels"
"pavlovia_init","pavlovia","0","1460","0.0-0.0","5f6fd1451758e95a989623b2","652d46c8909a0ef52332ec58","652f0d62f9075c0544c77ad2","","","","","","","","","","","","","","","","","","","","","","","",""
"","preload","1","5067","0.0-1.0","5f6fd1451758e95a989623b2","652d46c8909a0ef52332ec58","652f0d62f9075c0544c77ad2","true","false","[]","[]","[]","Preload","Experience","","","","","","","","","","","","","","","","",""
"","fullscreen","2","11047","0.0-2.0","5f6fd1451758e95a989623b2","652d46c8909a0ef52332ec58","652f0d62f9075c0544c77ad2","true","","","","","Fullscreen","","4967","17:41:15","","","","","","","","","","","","","","",""
"","browser-check","3","12044","0.0-3.0","5f6fd1451758e95a989623b2","652d46c8909a0ef52332ec58","652f0d62f9075c0544c77ad2","","","","","","Browser_Check","","","","1366","768","true","chrome","115.0.0","false","Chrome OS","true","60.49","true","true","","","",""
"","html-keyboard-response","4","25330","0.0-4.0","5f6fd1451758e95a989623b2","652d46c8909a0ef52332ec58","652f0d62f9075c0544c77ad2","","","","","","Instruction","","13286","","","","","","","","","","","","","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">During this experiment, you will watch a set of movie clips. You will also answer questions about your experience after watching each clip. <br><br><br> <strong><i>Please be aware</i> that these movie clips are sourced from horror films and may contain mature language, gore, violence, mutilation, and/or harm to oneself or others.</strong> <br><br><br> If you are not comfortable with continuing, please exit this experiment now and \""return\"" your participation on Prolific. <br><br><br><br> Otherwise, please press the <strong>SPACE BAR</strong> to continue</p>""]"," ","",""
"","image-button-response","5","40059","0.0-5.0","5f6fd1451758e95a989623b2","652d46c8909a0ef52332ec58","652f0d62f9075c0544c77ad2","","","","","","Consent","","14726","","","","","","","","","","","","","components/consent/consent.png","0","",""
"","html-keyboard-response","6","41585","0.0-6.0","5f6fd1451758e95a989623b2","652d46c8909a0ef52332ec58","652f0d62f9075c0544c77ad2","","","","","","Instr_Task","","1524","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Thank you for agreeing to participate in this experiment! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","",""
"","html-keyboard-response","7","47363","0.0-7.0","5f6fd1451758e95a989623b2","652d46c8909a0ef52332ec58","652f0d62f9075c0544c77ad2","","","","","","Instr_Task","","5777","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Before we begin, please be sure that you are in a good space to complete the experiment. This space should be: <br><br><br><br> <strong>Comfortable <br><br> Distraction-free <br><br> Available for the next 20 minutes</strong> <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","",""
"","html-keyboard-response","8","54688","0.0-8.0","5f6fd1451758e95a989623b2","652d46c8909a0ef52332ec58","652f0d62f9075c0544c77ad2","","","","","","Instr_Task","","7324","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;""><strong>Please give your full attention to the experiment. This includes:</strong> <br><br><br><br> Closing or minimizing other programs on your computer <br><br> Silencing your phone or placing it somewhere it will not be distracting <br><br> Testing that your audio is working and set to a comfortable volume that you can clearly hear <br><br> Not completing this experiment with others present <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","",""
"","html-keyboard-response","9","72266","0.0-9.0","5f6fd1451758e95a989623b2","652d46c8909a0ef52332ec58","652f0d62f9075c0544c77ad2","","","","","","Instr_Task","","17578","","","","","","","","","","","","","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">During this experiment, you will watch four short clips from horror movies. These clips may elicit some negative or unwanted emotional reactions. <br><br><br> <strong> Please watch and react to these clips as you naturally would</strong>. Before and after every clip, you will record the intensity of your negative emotions. You will also answer questions regarding your thoughts, behaviors, or experiences after watching all of the clips. <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","",""
