,Emotion,EmoMod
1,-,NA
10,admiration,admiration
11,adrenaline,adrenaline
12,adrenaline rush,adrenaline
13,afraid,afraid
14,agitation,agitation
15,alarm,alarmed
16,alarmed,alarmed
359,mildly alarmed,alarmed
17,alert,alert
18,alertful,alert
19,alertness,alert
20,amazed,amazed
21,amazement,amazed
22,amazement that he moved that fast,amazed
23,amused,amused
24,amusement,amused
25,analysis,analysis
26,anger,angry
27,angry,angry
28,angst,angst
29,annoyance,annoyed
30,annoyed,annoyed
31,annoying,annoyed
32,anticipating,anticipation
33,anticipation,anticipation
34,antsy,antsy
35,anxiety,anxious
36,anxious,anxious
37,anxiousness,anxious
38,apathetic,apathetic
39,apathy,apathetic
40,appaled,appalled
41,appreciation,appreciative
42,appreciative,appreciative
43,"appreciative of the gore, but also mildly traumatizing",appreciative
44,apprehension,apprehensive
45,apprehensive,apprehensive
46,arousal,arousal
47,astonished,astonished
48,attentive,attentive
49,aversion,aversion
50,awake,awake
51,aware,aware
52,awe,awed
53,awed,awed
54,awful,awful
55,awkward,awkward
56,awkwardness,awkward
57,bad,bad
58,bamboozled,bamboozled
59,befuddled,befuddled
60,belly turning,belly turning
61,bewildered,bewildered
62,bewildermend,bewildered
63,bewilderment,bewildered
70,bweildered,bewildered
64,blindsidedness,blindsidedness
7,a little bored,bored
65,bored,bored
66,boredom,bored
67,bothered,bothered
68,breathless,breathless
69,bummed out,bummed
71,calm,calm
72,calm otherwise,calm
73,calmer,calm
493,somewhat calm,calm
76,careful,careful
77,caught off gaurd,caught off guard
78,caught off guard,caught off guard
79,caushen,cautious
80,causion,cautious
81,caution,cautious
82,cautious,cautious
83,chased,chased
84,chilled,chilled
85,chills,chilled
86,chippy,chipper
87,clarity,clarity
88,clausterphobic,claustrophobic
89,claustrophobia,claustrophobic
90,claustrophobic,claustrophobic
91,clautrophobia,claustrophobic
92,closterphobic,claustrophobic
127,crostrophobic,claustrophobic
93,clueless,clueless
95,cold,cold
96,coldness,cold
97,colorful,colorful
98,combative,combative
99,comfort,comfortable
100,comfortable,comfortable
101,comical,comical
102,compelled,compelled
105,conentrated,concentration
103,concern,concerned
104,concerned,concerned
375,nervous/concerned,concerned
106,confident,confident
