,File,Movie,Category,Length_s,Arousal_mean,Arousal_median,Arousal_var,Valence_mean,Valence_median,Valence_var,Coherence_mean,Coherence_median,Coherence_var,Familiarity_mean,Familiarity_median,Familiarity_var
1,stim/ARF1665.mp4,Vicious Fun,Aversive,120,64.5,77.5,1328.894737,21.75,15,545.25,44.75,48,925.0394737,6.05,0,494.9973684
2,stim/BUW6346.mp4,Downrange,Aversive,120,51.05,61,1139.418421,25.85,21,256.0289474,61.45,68.5,1098.892105,3.35,0,128.9763158
3,stim/CNL1892.mp4,Head Count,Aversive,120,50.7,63,777.6947368,34.7,33.5,591.1684211,53.85,67,975.8184211,0.25,0,0.302631579
4,stim/DEI3581.mp4,Hounds of Love,Aversive,120,53.8,57,1213.115789,17.85,11.5,313.0815789,45.8,42.5,1177.536842,7.05,0,509.9447368
5,stim/EMB9905.mp4,Motherly,Aversive,120,56.05,70,1198.365789,21.4,16,394.8842105,52.25,64.5,946.7236842,6,0,494.2105263
6,stim/FGV3524.mp4,Superhost,Aversive,120,59.15,58.5,536.9763158,30.95,25.5,434.5763158,43.8,46,707.2210526,0.8,0,5.010526316
7,stim/GEP2605.mp4,The Cleansing Hour,Aversive,120,61.35,68,758.7657895,35.95,39,561.6289474,37.4,41,1050.463158,0.35,0,0.45
8,stim/HIU8424.mp4,The Marshes,Aversive,120,73.45,70,454.6815789,13.65,1.5,414.7657895,49.8,55,888.4842105,0.6,0,1.305263158
9,stim/ISD7552.mp4,The Seed,Aversive,120,52.9,65,1255.673684,16.45,10,414.2605263,65.7,82.5,1287.589474,3.5,0,178.6842105
10,stim/JIY4550.mp4,The Triangle,Aversive,120,50.25,57.5,633.9868421,24.55,21.5,474.5763158,47.5,57,879.3157895,10.95,0,935.7342105
