PID,Videos,stimset,Arousal,Valence,Coherence,Familiarity,,
hc0001,BUW6346,1,57,26,100,0,,
hc0002,BUW6346,1,34,50,88,0,,
hc0003,BUW6346,1,55,30,29,0,,
hc0004,BUW6346,1,100,0,20,0,,
hc0005,BUW6346,1,1,50,1,1,,
hc0006,BUW6346,1,40,20,100,0,,
hc0007,BUW6346,1,84,11,8,0,,
hc0008,BUW6346,1,71,12,85,0,,
hc0009,BUW6346,1,68,33,89,0,,
hc0010,BUW6346,1,15,50,75,0,,
hc0001,FGV5023,0,18,66,74,0,,
hc0002,FGV5023,0,11,50,23,2,,
hc0003,FGV5023,0,5,16,46,0,,
hc0004,FGV5023,0,45,50,0,0,,
hc0005,FGV5023,0,1,1,1,1,,
hc0006,FGV5023,0,65,40,30,0,,
hc0007,FGV5023,0,21,41,0,0,,
hc0008,FGV5023,0,5,33,20,0,,
hc0009,FGV5023,0,15,49,50,0,,
hc0010,FGV5023,0,6,50,30,0,,
hc0001,EMB3650,0,71,70,32,0,,
hc0002,EMB3650,0,60,20,21,1,,
hc0003,EMB3650,0,13,43,0,0,,
hc0004,EMB3650,0,35,40,0,0,,
hc0005,EMB3650,0,1,1,1,1,,
hc0006,EMB3650,0,20,20,10,0,,
hc0007,EMB3650,0,7,62,70,0,,
hc0008,EMB3650,0,8,50,14,0,,
hc0009,EMB3650,0,35,30,79,0,,
hc0010,EMB3650,0,8,50,31,0,,
hc0001,ISD7552,1,66,16,85,0,,
hc0002,ISD7552,1,61,70,80,1,,
hc0003,ISD7552,1,45,4,52,0,,
hc0004,ISD7552,1,70,0,15,0,,
hc0005,ISD7552,1,1,1,1,1,,
hc0006,ISD7552,1,20,30,90,0,,
hc0007,ISD7552,1,65,11,6,0,,
hc0008,ISD7552,1,24,39,58,0,,
hc0009,ISD7552,1,65,10,80,0,,
hc0010,ISD7552,1,7,50,100,0,,
hc0001,HIU9145,0,18,28,73,0,,
hc0002,HIU9145,0,13,50,74,1,,
hc0003,HIU9145,0,4,75,11,0,,
hc0004,HIU9145,0,5,44,10,0,,
hc0005,HIU9145,0,2,2,2,2,,
hc0006,HIU9145,0,0,50,20,0,,
hc0007,HIU9145,0,0,82,0,0,,
hc0008,HIU9145,0,15,58,76,1,,
hc0009,HIU9145,0,10,50,70,0,,
hc0010,HIU9145,0,7,50,84,0,,
hc0001,ARF1665,1,78,14,79,0,,
hc0002,ARF1665,1,88,80,71,1,,
hc0003,ARF1665,1,61,38,30,0,,
hc0004,ARF1665,1,100,0,5,0,,
hc0005,ARF1665,1,2,2,3,3,,
hc0006,ARF1665,1,45,20,70,0,,
hc0007,ARF1665,1,81,1,0,0,,
hc0008,ARF1665,1,77,21,65,0,,
hc0009,ARF1665,1,70,8,85,0,,
hc0010,ARF1665,1,44,57,41,0,,
hc0001,GEP2605,1,100,28,81,0,,
hc0002,GEP2605,1,76,81,42,2,,
hc0003,GEP2605,1,39,47,0,0,,
hc0004,GEP2605,1,60,40,0,0,,
hc0005,GEP2605,1,1,1,2,2,,
hc0006,GEP2605,1,20,50,60,0,,
hc0007,GEP2605,1,94,0,0,0,,
hc0008,GEP2605,1,22,38,75,0,,
hc0009,GEP2605,1,72,11,90,0,,
hc0010,GEP2605,1,64,61,55,0,,
hc0001,JIY2396,0,5,61,28,0,,
hc0002,JIY2396,0,65,55,62,2,,
hc0003,JIY2396,0,8,76,0,0,,
hc0004,JIY2396,0,30,45,0,0,,
hc0005,JIY2396,0,1,2,2,1,,
hc0006,JIY2396,0,0,40,30,0,,
hc0007,JIY2396,0,0,100,0,0,,
hc0008,JIY2396,0,10,54,32,0,,
hc0009,JIY2396,0,0,50,67,0,,
hc0010,JIY2396,0,7,47,65,0,,
hc0001,CNL1892,1,67,29,68,0,,
hc0002,CNL1892,1,56,50,82,2,,
hc0003,CNL1892,1,70,54,66,0,,
hc0004,CNL1892,1,25,40,15,0,,
hc0005,CNL1892,1,1,1,1,1,,
hc0006,CNL1892,1,30,50,80,0,,
hc0007,CNL1892,1,84,0,0,0,,
hc0008,CNL1892,1,19,32,69,0,,
hc0009,CNL1892,1,66,19,76,0,,
hc0010,CNL1892,1,10,50,95,0,,
hc0001,DEI9446,0,45,47,57,0,,
hc0002,DEI9446,0,60,41,73,2,,
hc0003,DEI9446,0,24,61,14,0,,
hc0004,DEI9446,0,25,48,0,0,,
hc0005,DEI9446,0,1,1,1,1,,
hc0006,DEI9446,0,0,50,40,0,,
hc0007,DEI9446,0,0,58,0,0,,
hc0008,DEI9446,0,16,38,82,6,,
hc0009,DEI9446,0,5,45,47,0,,
hc0010,DEI9446,0,10,50,56,0,,
hc0011,BUW6220,0,21,50,16,0,,
hc0012,BUW6220,0,4,50,20,0,,
hc0013,BUW6220,0,0,50,40,0,,
hc0014,BUW6220,0,1,49,10,0,,
hc0015,BUW6220,0,15,50,0,0,,
hc0016,BUW6220,0,0,50,60,0,,
hc0017,BUW6220,0,9,31,63,2,,
hc0018,BUW6220,0,64,70,1,1,,
hc0019,BUW6220,0,20,60,55,0,,
hc0020,BUW6220,0,1,48,4,2,,
hc0011,FGV3524,1,51,15,33,0,,
hc0012,FGV3524,1,70,16,7,0,,
hc0013,FGV3524,1,50,15,90,0,,
hc0014,FGV3524,1,86,15,25,0,,
hc0015,FGV3524,1,45,35,40,0,,
hc0016,FGV3524,1,17,29,64,0,,
hc0017,FGV3524,1,67,22,58,10,,
hc0018,FGV3524,1,60,5,27,1,,
