PID,EventNum,EventKey,EventDesc,Judgement
A-089,1,Abrupt,"When we walked into the section with an opening to the outside a man with a chainsaw appeared from the right. the chainsaw was off initially but as we walked by he ran up and turned it on, chasing us up the line. He didn't turn off the chainsaw until we entered the indoor section",Machine_Shop
A-071,2,Air,There was a large puff of air from a machine that pushed into my legs that made me jump in the air a bit. There were people right behind me (perhaps a little too close) so they had to stop short and bumped into my back. ,Machine_Shop
A-095,1,Alarming,The man tried to hit me with a sledgehammer and then pulled back at the last second. ,Machine_Shop
A-095,2,Alarming,A man tried to hit me with a cinderblock and then pulled back at the last second. ,Machine_Shop
A-067,3,anticipating,"Walking through the tour and seeing the bodies hanging from the ceiling, the strobe lights made it look as if they were moving and I thought of one them would jump out at me. ",Crypt
A-089,1,Anticipation,"'- walking through the bus, we walked up the steps and it was hard to see and i knew things were going to jump out
- there was a person on the left and right that each jumped
- we exited down stairs",Crypt
A-033,2,anxiety,the second emotionally evocative even that occurred within the Crypt was smoke filling the room completely,Crypt
A-089,3,Anxiety,"'- in the crypt there was a moving floor board that i couldnt get my feet set under me on
- as we walked over the boards slide in different directions each making it hard to pass through",Crypt
A-098,1,anxiety,the man started walking behind us down the ramp with a chain saw. there was a smell of gas ,Machine_Shop
A-070,4,Anxious,Another event I can somewhat remember is getting on the bus at the beginning of either the Machine Shop or the Crypt. I remember being scared to walk through and looking around to make sure nothing jump scared me.,Crypt
A-015,3,anxious ,Walking through the bus in the crypt was emotionally-evocative because I knew something was going to happen but I didn't know when. ,Crypt
A-004,2,Art,During the delirium I remember being smiling and looking at the cool art.,Delirium
A-025,1,Axe,"At the beginning, an actor took practice swings at on-coming participants, which scared a few.",Machine_Shop
A-105,1,axe,"The person at the beginning had all white eyes, was wearing a red outfit, and was cutting off each group with a bloody hand saw that she had in her hand. ",Machine_Shop
A-050,1,axes,The people nearly hit us with axes and bats. ,Machine_Shop
A-065,4,Bars,"Walkin though the section in the crypt with bars floor to ceiling, foliage on them, and actors reaching through the bars and trying to scare us",Crypt
A-071,6,Bathroom,"When we were in Machine Shop, I remember suddenly having to use the restroom. Being that we were in the middle of the attraction, and not wanting to hold up the group, I held it in until I returned home that night. ",Machine_Shop
A-071,1,Beginning,"The actor that was letting people in suddenly swung his tool in my face right as I was about to enter the room. Since I wasn't paying attention, it caught me off guard and I felt myself quickly move away. ",Machine_Shop
A-039,3,behind,long tunnel with strobes,Crypt
A-064,1,bloody,"there was a shelf that the actor controlled from behind that was loose. It had three buckets on it and shook up and down to scare those who were coming around the corner to greet the actor and move on in the section. It was the first thing that got a jump out of me. 
",
A-019,2,Blurry,Throughout delirium the glasses they gave us made everything blurry.,Delirium
A-064,2,bodies,"The second event happened right after the first one, where there was an actor in my face screaming ""yes, yes, yes"" as i screamed ""no, no, no"" at them because they were scaring me and blocking people from walking around the table to get in their faces. ",Machine_Shop
A-098,2,bodies,there were bodies hanging from the ceiling. they were swaying.,Crypt
A-102,2,Bodies,We walked into the white room and it was strobing really extremely.  I saw things hanging and I couldn't tell what they were at first.  Halfway through the room I realized they were hanging bodies. I couldn't avoid running into one.  I could barely see how to get out.  I just followed steven to the exit.,Crypt
A-008,1,Boots,Cool go go boots on elevated dancers in delirium ,Delirium
A-068,2,box,the thing in the cage banging loudly was emotionally evocative. It was really violently shaking like there was something inside banging its face on the box to get out. ,Machine_Shop
A-102,5,box,We had to walk into a big shaking box in the machine shop.  I was afraid of the character there and knew he was hiding on the other side.  Sure enough he was and he scared me.,Machine_Shop
A-123,2,box,"creature in a box, shakes back and forth, empty box, cloudy windows",Crypt
A-124,2,Box,I remember being next to the cell with a box that was banging. I remember figuring out that there was nobody real inside so nobody will jump out at me but it was really loud and I was standing next to it for a long time. The sound was scarier to me than the actual concept of a crazy person in a box in a cell. ,Crypt
A-065,6,Box ,Box of body parts during machine chop. You walk though a box thatâ€™s supposed to look like itâ€™s made of body parts. There were also two white male actors in the room.,Machine_Shop
A-055,2,bridge,A flowy bridge,Machine_Shop
A-001,1,bus,Inside the bus it was smoking and a person banged on the wall and scared you.,Crypt
A-001,4,Bus,There was a bus with strobe lights that you entered as soon as you started the Crypt section.,Crypt
A-011,1,bus,"The walking through the bus, it was claustrophobic and exposed and it was nerve wracking because I was uncertain which figures were wax and which would jump out at me",Crypt
A-026,1,bus,"I was walking onto the bus and watching the lights flicker on and off and i kept waiting for one of the mannequins to jump out at me from the seats but none of them did, and then once we walked off the bus i remember hearing screams from on the bus and I also remember noting the handy capable access route from the entrance to the rest of the section",Crypt
A-044,1,Bus,"The first emotionally evocative event that occurred for me was on the bus, instantly, I was scared and screamed when I could not tell the difference between a fake dead body and a real person. It was also my first scare since it was all strobe lights so it was very difficult to see. ",Crypt
A-051,1,Bus,"Getting on the bus was scary because there were flashing lights and fake bodies in the seats and I was very sure that one of them was going to be real. Fortunately, there were no real people that jumped out. I also found it hard to walk through the bus because of the flashing lights so I was falling into the seats. ",Crypt
A-052,1,Bus,"We walked through a school bus full of dolls and smoke and strobing lights, and then someone jumped out at us after we got off the bus and banged on a fence.",Crypt
A-055,1,Bus,The first emotionally evocative event was seeing the first dead body on the left.,Crypt
A-058,4,Bus,"I hates the bus. The strobe lights were disorienting and the passage between the seats was really narrow, so I felt a little claustrophobic ",Crypt
A-065,1,bus,"the aluminum bus; there were strobe lights and dummys of people in some of the seats in either sides. there were two live people sitting on either side of the bus sitting near the middle. on the left was an African American man with dreds and on the right side there was a person with long brunette hair in front of their face. wwe made it to the end of the bus in a single file line with the man with dreds following us, but other than that the actors did not interact",Crypt
A-066,1,Bus,The bus because it was a different setting than we had been in before. Also because it was scary not knowing who was a real person and what was a prop. There was a person at the end of the bus who jumped out at us before we exited the bus. ,Crypt
A-068,1,bus,"walking on the bus was a cool entrance to the crypt. It brought back memories of gettin on the schoolbus as a kid. it was dark and there were flashes where you could see people in the seats. some of the people were dummies, some were real.
",Crypt
