PID,Delirium,Take 13,Machine Shop,Crypt
A-001,2,2,3,2
A-002,5,5,5,5
A-003,2,3,3,4
A-004,1,1,2,2
A-005,2,2,4,4
A-006,4,1,3,3
A-007,3,2,3,4
A-008,3,4,4,2
A-009,2,1,5,4
A-010,2,1,3,2
A-011,2,1,3,4
A-012,3,2,4,5
A-013,2,1,4,5
A-014,3,1,4,5
A-015,2,1,3,3
A-016,2,1,4,5
A-017,3,2,3,3
A-018,2,2,2,3
A-019,4,1,3,2
A-020,1,1,2,3
A-021,1,2,2,3
A-022,1,2,4,3
A-023,1,1,2,2
A-024,2,1,4,5
A-025,2,3,4,4
A-026,2,1,3,2
A-027,2,1,4,3
A-028,1,1,3,4
A-029,1,2,2,3
A-030,2,1,2,3
A-032,2,4,4,3
A-033,4,5,5,5
A-034,2,3,3,3
A-035,1,3,4,3
A-036,1,2,3,2
A-037,4,2,5,4
A-038,2,1,4,4
A-039,3,2,4,4
A-040,1,1,3,3
A-041,1,1,3,4
A-042,2,2,5,4
A-043,1,1,3,3
A-044,2,3,5,5
A-045,2,1,3,3
A-046,2,3,4,4
A-047,2,1,3,3
A-048,2,2,4,4
A-049,2,1,2,2
A-050,2,2,3,2
A-051,1,2,3,3
A-052,1,2,4,4
A-054,4,2,4,4
A-055,2,2,3,2
A-056,1,1,2,2
A-057,2,1,3,2
A-058,2,2,4,3
A-059,1,1,3,3
A-060,1,1,2,3
A-061,2,2,3,4
A-062,1,2,3,3.5
A-063,1,1,1,1
A-064,3,3,4,4
A-065,2,3,4,3
A-066,3,2,4,4
A-067,2,1,3,4
A-068,1,3,4,4
A-070,2,2,4,3
A-071,1,1,3,2
A-072,1,1,2,2
A-073,2,1,5,3
A-074,2,1,3,3
A-075,2,2,4,3
A-076,1,1,2,4
A-078,1,1,1,2
A-079,1,1,2,4
A-080,3,1,3,4
A-081,3,2,4,5
A-082,1,1,2,3
A-083,2,1,4,3
A-084,1,3,4,3
A-086,2,1,2,2
A-087,2,2,4,3
A-088,1,1,2,2
A-089,2,1,3,3
A-090,4,4,5,5
A-091,1,1,2,2
A-092,2,2,4,3
A-093,3,1,2,3
A-094,1,1,4,2
A-095,2,1,3,2
A-096,2,1,3,4
A-097,2,1,4,5
A-098,2,3,4,5
A-099,1,1,3,2
A-100,3,2,5,5
A-101,3,2,4,4
A-102,2,3,4,5
A-103,4,1,5,5
A-104,2,2,4,4
A-105,3,2,4,5
A-106,4,3,4,4
A-107,2,1,4,5
A-108,2,3,3,5
A-109,1,3,4,4
A-110,2,3,3,2
A-111,3,2,4,5
A-112,2,3,4,4
A-113,3,3,4,4
A-114,1,2,2,3
A-115,1,1,2,3
A-116,2,1,2,3
A-117,3,1,5,4
A-118,2,1,3,3
A-119,1,2,3,2
A-120,3,4,5,4
A-122,2,1,3,3
A-123,1,2,2,3
A-124,2,2,4,5
