"","PID","Stage","Section","TimeFirstClick","TimeLastClick","TimeSubmission","TimeClickCount","Recall","RecencyDiscrim","Answer"
"1","A-002","Immediate Post-Exposure","Take13","9.453","104.398","138.775","7","This was the second tour. We entered after Delirium. There was a lady in red who was being dramatic. The theme was around a Hollywood movie shoot. The man at the door told us we were the stars and not the lady in red. The man at the end was yelling at someone and telling them that the place was not haunted. There was a narration on some director, whose name I can't recollect.","1","Stage 6 Sign"
"2","A-002","Immediate Post-Exposure","Take13","9.453","104.398","138.775","7","This was the second tour. We entered after Delirium. There was a lady in red who was being dramatic. The theme was around a Hollywood movie shoot. The man at the door told us we were the stars and not the lady in red. The man at the end was yelling at someone and telling them that the place was not haunted. There was a narration on some director, whose name I can't recollect.","2","Tub / Shower"
"3","A-002","Immediate Post-Exposure","Take13","9.453","104.398","138.775","7","This was the second tour. We entered after Delirium. There was a lady in red who was being dramatic. The theme was around a Hollywood movie shoot. The man at the door told us we were the stars and not the lady in red. The man at the end was yelling at someone and telling them that the place was not haunted. There was a narration on some director, whose name I can't recollect.","3","Studio Mirror"
"4","A-002","Immediate Post-Exposure","Take13","9.453","104.398","138.775","7","This was the second tour. We entered after Delirium. There was a lady in red who was being dramatic. The theme was around a Hollywood movie shoot. The man at the door told us we were the stars and not the lady in red. The man at the end was yelling at someone and telling them that the place was not haunted. There was a narration on some director, whose name I can't recollect.","4","Lady in Red Robe"
"5","A-002","Immediate Post-Exposure","Crypt","3.684","85.707","126.626","5","The crypt was the final section of the tour. Lots of strobing lights, dead bodies hanging from the ceiling. We entered through a bus. There were a bunch of stairs we had to climb. There were cages everywhere and people kept coming out of the cages.","1","Bus"
"6","A-002","Immediate Post-Exposure","Crypt","3.684","85.707","126.626","5","The crypt was the final section of the tour. Lots of strobing lights, dead bodies hanging from the ceiling. We entered through a bus. There were a bunch of stairs we had to climb. There were cages everywhere and people kept coming out of the cages.","2","Jail Cells with Foliage / Nets"
"7","A-002","Immediate Post-Exposure","Crypt","3.684","85.707","126.626","5","The crypt was the final section of the tour. Lots of strobing lights, dead bodies hanging from the ceiling. We entered through a bus. There were a bunch of stairs we had to climb. There were cages everywhere and people kept coming out of the cages.","3","Bodies Hanging in Meat Freezer"
"8","A-002","Immediate Post-Exposure","Crypt","3.684","85.707","126.626","5","The crypt was the final section of the tour. Lots of strobing lights, dead bodies hanging from the ceiling. We entered through a bus. There were a bunch of stairs we had to climb. There were cages everywhere and people kept coming out of the cages.","4","Up the Stairs"
"9","A-002","Immediate Post-Exposure","Crypt","3.684","85.707","126.626","5","The crypt was the final section of the tour. Lots of strobing lights, dead bodies hanging from the ceiling. We entered through a bus. There were a bunch of stairs we had to climb. There were cages everywhere and people kept coming out of the cages.","5","Large Monsters over Railing"
"10","A-001","Immediate Post-Exposure","Delirium","3.198","90.551","159.411","3","delirium was very colorful. It started with an entry room with neon color murals. You were then given 3D glasses which made the neon murals on the walls pop out a lot. There were neon spiders on the walls, and at one spot neon spikes coming out of the wall. he neon and 3D glasses made there be different depth perception. At one point there was a bridge with the different colors that was difficult to walk across because some steps appeared higher and some lower.","1","Splatter Paint"
"11","A-001","Immediate Post-Exposure","Delirium","3.198","90.551","159.411","3","delirium was very colorful. It started with an entry room with neon color murals. You were then given 3D glasses which made the neon murals on the walls pop out a lot. There were neon spiders on the walls, and at one spot neon spikes coming out of the wall. he neon and 3D glasses made there be different depth perception. At one point there was a bridge with the different colors that was difficult to walk across because some steps appeared higher and some lower.","2","Character Dancing on Raised Surface"
"12","A-001","Immediate Post-Exposure","Delirium","3.198","90.551","159.411","3","delirium was very colorful. It started with an entry room with neon color murals. You were then given 3D glasses which made the neon murals on the walls pop out a lot. There were neon spiders on the walls, and at one spot neon spikes coming out of the wall. he neon and 3D glasses made there be different depth perception. At one point there was a bridge with the different colors that was difficult to walk across because some steps appeared higher and some lower.","3","Large Spiders"
"13","A-001","Immediate Post-Exposure","Delirium","3.198","90.551","159.411","3","delirium was very colorful. It started with an entry room with neon color murals. You were then given 3D glasses which made the neon murals on the walls pop out a lot. There were neon spiders on the walls, and at one spot neon spikes coming out of the wall. he neon and 3D glasses made there be different depth perception. At one point there was a bridge with the different colors that was difficult to walk across because some steps appeared higher and some lower.","4","Shaky floor / Bridge"
"14","A-001","Immediate Post-Exposure","Delirium","3.198","90.551","159.411","3","delirium was very colorful. It started with an entry room with neon color murals. You were then given 3D glasses which made the neon murals on the walls pop out a lot. There were neon spiders on the walls, and at one spot neon spikes coming out of the wall. he neon and 3D glasses made there be different depth perception. At one point there was a bridge with the different colors that was difficult to walk across because some steps appeared higher and some lower.","5","Snake on Ledge"
"15","A-001","Immediate Post-Exposure","Crypt","2.386","113.538","132.458","6","You started by entering through a school bus. From there you went through hard rubber flaps into the penitentiary. People were trying to scare you. There was dead corpse dolls, one of which had its head pop out at you. You go up stairs at one point, and on to a shaky/moving floor, then back down stairs. There was a guy behind bars trying to scare you downstairs.","1","Bus"
"16","A-001","Immediate Post-Exposure","Crypt","2.386","113.538","132.458","6","You started by entering through a school bus. From there you went through hard rubber flaps into the penitentiary. People were trying to scare you. There was dead corpse dolls, one of which had its head pop out at you. You go up stairs at one point, and on to a shaky/moving floor, then back down stairs. There was a guy behind bars trying to scare you downstairs.","2","Jail Cells with Foliage / Nets"
"17","A-001","Immediate Post-Exposure","Crypt","2.386","113.538","132.458","6","You started by entering through a school bus. From there you went through hard rubber flaps into the penitentiary. People were trying to scare you. There was dead corpse dolls, one of which had its head pop out at you. You go up stairs at one point, and on to a shaky/moving floor, then back down stairs. There was a guy behind bars trying to scare you downstairs.","3","Character coming Between Jail Cell Grates"
"18","A-001","Immediate Post-Exposure","Crypt","2.386","113.538","132.458","6","You started by entering through a school bus. From there you went through hard rubber flaps into the penitentiary. People were trying to scare you. There was dead corpse dolls, one of which had its head pop out at you. You go up stairs at one point, and on to a shaky/moving floor, then back down stairs. There was a guy behind bars trying to scare you downstairs.","4","Up the Stairs"
"19","A-001","Immediate Post-Exposure","Crypt","2.386","113.538","132.458","6","You started by entering through a school bus. From there you went through hard rubber flaps into the penitentiary. People were trying to scare you. There was dead corpse dolls, one of which had its head pop out at you. You go up stairs at one point, and on to a shaky/moving floor, then back down stairs. There was a guy behind bars trying to scare you downstairs.","5","Large Monsters over Railing"
"20","A-003","Immediate Post-Exposure","Delirium","2.534","124.176","163.06","6","They had a lot of bright neon colors. We wore glasses to amplify the colors. At one point the bridge we crossed felt like it was three dimensional which made walking awkward. It was a bit frightening at times but I have difficulty remembering. Honestly the experience is a bit of a blur since I had a lot of anxiety throughout. They might have had clowns trying t frighten you .","1","Splatter Paint"
"21","A-003","Immediate Post-Exposure","Delirium","2.534","124.176","163.06","6","They had a lot of bright neon colors. We wore glasses to amplify the colors. At one point the bridge we crossed felt like it was three dimensional which made walking awkward. It was a bit frightening at times but I have difficulty remembering. Honestly the experience is a bit of a blur since I had a lot of anxiety throughout. They might have had clowns trying t frighten you .","2","Get Glasses / Put on Glasses"
"22","A-003","Immediate Post-Exposure","Delirium","2.534","124.176","163.06","6","They had a lot of bright neon colors. We wore glasses to amplify the colors. At one point the bridge we crossed felt like it was three dimensional which made walking awkward. It was a bit frightening at times but I have difficulty remembering. Honestly the experience is a bit of a blur since I had a lot of anxiety throughout. They might have had clowns trying t frighten you .","3","Spinning Tunnel"
"23","A-003","Immediate Post-Exposure","Delirium","2.534","124.176","163.06","6","They had a lot of bright neon colors. We wore glasses to amplify the colors. At one point the bridge we crossed felt like it was three dimensional which made walking awkward. It was a bit frightening at times but I have difficulty remembering. Honestly the experience is a bit of a blur since I had a lot of anxiety throughout. They might have had clowns trying t frighten you .","4","Polka Dots"
"24","A-003","Immediate Post-Exposure","Delirium","2.534","124.176","163.06","6","They had a lot of bright neon colors. We wore glasses to amplify the colors. At one point the bridge we crossed felt like it was three dimensional which made walking awkward. It was a bit frightening at times but I have difficulty remembering. Honestly the experience is a bit of a blur since I had a lot of anxiety throughout. They might have had clowns trying t frighten you .","5","Snake on Ledge"
"25","A-003","Immediate Post-Exposure","MachShop","2.349","3.265","121.038","2","machine shop had characters with machines frightening individuals. One person crept ahead of me and pulled a saw in front of the other participant. I think there might have been characters on a table looking like they would go through surgery....but maybe that was a different one. Again, not much memory here (I actually feel a little light headed--anxiety not fear).  ","1","Chainsaw"
"26","A-003","Immediate Post-Exposure","MachShop","2.349","3.265","121.038","2","machine shop had characters with machines frightening individuals. One person crept ahead of me and pulled a saw in front of the other participant. I think there might have been characters on a table looking like they would go through surgery....but maybe that was a different one. Again, not much memory here (I actually feel a little light headed--anxiety not fear).  ","2","Air Gun"
"27","A-003","Immediate Post-Exposure","MachShop","2.349","3.265","121.038","2","machine shop had characters with machines frightening individuals. One person crept ahead of me and pulled a saw in front of the other participant. I think there might have been characters on a table looking like they would go through surgery....but maybe that was a different one. Again, not much memory here (I actually feel a little light headed--anxiety not fear).  ","3","Table Saw with Hand"
"28","A-003","Immediate Post-Exposure","MachShop","2.349","3.265","121.038","2","machine shop had characters with machines frightening individuals. One person crept ahead of me and pulled a saw in front of the other participant. I think there might have been characters on a table looking like they would go through surgery....but maybe that was a different one. Again, not much memory here (I actually feel a little light headed--anxiety not fear).  ","4","Walk Through Box"
"29","A-003","Immediate Post-Exposure","MachShop","2.349","3.265","121.038","2","machine shop had characters with machines frightening individuals. One person crept ahead of me and pulled a saw in front of the other participant. I think there might have been characters on a table looking like they would go through surgery....but maybe that was a different one. Again, not much memory here (I actually feel a little light headed--anxiety not fear).  ","5","Gate Drop from Above"
"30","A-006","Immediate Post-Exposure","Take13","6.399","105.661","125.738","18","Entrance there was a man with a movie clicker thing, dentist with a drill and a head made of teeth, detective man, pretty lady with a makeup stand, receptionist twirling phone cord,  ","1","Man at Typewriter"
"31","A-006","Immediate Post-Exposure","Take13","6.399","105.661","125.738","18","Entrance there was a man with a movie clicker thing, dentist with a drill and a head made of teeth, detective man, pretty lady with a makeup stand, receptionist twirling phone cord,  ","2","Dentist Chair"
"32","A-006","Immediate Post-Exposure","Take13","6.399","105.661","125.738","18","Entrance there was a man with a movie clicker thing, dentist with a drill and a head made of teeth, detective man, pretty lady with a makeup stand, receptionist twirling phone cord,  ","3","Studio Mirror"
"33","A-006","Immediate Post-Exposure","Take13","6.399","105.661","125.738","18","Entrance there was a man with a movie clicker thing, dentist with a drill and a head made of teeth, detective man, pretty lady with a makeup stand, receptionist twirling phone cord,  ","4","Lady in Red Robe"
"34","A-006","Immediate Post-Exposure","Crypt","1.11","96.644","132.926","6","Animatronics that look like the lizard people from doctor who, 2 men who looked like extras from Cats (2020), school bus that said crypt, flashing room with upside down bodies, shaking cage Electricity?, people missing limbs","1","Bus"
"35","A-006","Immediate Post-Exposure","Crypt","1.11","96.644","132.926","6","Animatronics that look like the lizard people from doctor who, 2 men who looked like extras from Cats (2020), school bus that said crypt, flashing room with upside down bodies, shaking cage Electricity?, people missing limbs","2","Loud Box inside of Jail Cell"
