"","PID","Stage","Question","FirstClick","LastClick","PageSubmit","ClickCount","Response","Answer","Correct"
"1","A-001","Pre-Exposure","A01","5.131","5.131","7.525","1","boat","boat",1
"2","A-001","Pre-Exposure","A02","3.747","3.747","6.753","1","honey","honey",1
"3","A-001","Pre-Exposure","A03","5.769","5.769","8.901","1","pin","pin",1
"4","A-001","Pre-Exposure","A04","7.421","7.421","15.019","1","blue","blue",1
"5","A-001","Pre-Exposure","A05","4.204","4.204","6.76","1","soap","soap",1
"6","A-001","Pre-Exposure","A06","3.774","3.774","6.536","1","fast","fast",1
"7","A-001","Pre-Exposure","A07","8.627","8.627","13.725","1","fiber","copy",0
"8","A-001","Pre-Exposure","A08","7.214","7.214","15.123","1","NO ANSWER","saw",0
"9","A-001","Pre-Exposure","A09","6.021","6.021","15.115","1","NO ANSWER","top",0
"10","A-001","Pre-Exposure","A10","6.263","6.263","10.164","1","pack","pack",1
"11","A-001","Pre-Exposure","A11","4.614","14.072","15.108","5","NO ANSWER","under",0
"12","A-001","Pre-Exposure","A12","9.733","9.733","15.009","1","NO ANSWER","sweet",0
"13","A-001","Pre-Exposure","A13","8.796","8.796","15.121","1","man","suit",0
"14","A-001","Pre-Exposure","A14","0","0","15.005","0","NO ANSWER","battle",0
"15","A-001","Pre-Exposure","A15","5.107","5.107","7.814","1","power","power",1
"16","A-002","Pre-Exposure","B01","7.691","7.691","12.243","1","Watch","watch",1
"17","A-002","Pre-Exposure","B02","5.075","5.075","15.022","1","Tree","bill",0
"18","A-002","Pre-Exposure","B03","2.701","2.701","7.098","1","Sugar","sugar",1
"19","A-002","Pre-Exposure","B04","9.316","9.316","15.036","1","NO ANSWER","bank",0
"20","A-002","Pre-Exposure","B05","12.277","12.277","15.126","1","Sink","space",0
"21","A-002","Pre-Exposure","B06","5.155","5.155","15.021","1","NO ANSWER","bowl",0
"22","A-002","Pre-Exposure","B07","9.805","9.805","15.035","1","NO ANSWER","ball",0
"23","A-002","Pre-Exposure","B08","0","0","15.132","0","NO ANSWER","gas",0
"24","A-002","Pre-Exposure","B09","5.658","5.658","9.501","1","Rye","dog",0
"25","A-002","Pre-Exposure","B10","7.161","7.161","15.031","1","Fine","air",0
"26","A-002","Pre-Exposure","B11","7.022","7.022","14.761","1","Slate","check",0
"27","A-002","Pre-Exposure","B12","2.151","2.151","15.024","1","Fare","post",0
"28","A-002","Pre-Exposure","B13","2.378","2.378","15.175","1","Train","steam",0
"29","A-002","Pre-Exposure","B14","5.977","5.977","15.12","1","NO ANSWER","jelly",0
"30","A-002","Pre-Exposure","B15","0","0","15.132","0","NO ANSWER","broad",0
"31","A-003","Pre-Exposure","C01","11.414","11.414","15.019","1","NO ANSWER","sore",0
"32","A-003","Pre-Exposure","C02","4.571","4.571","12.637","1","chair","chair",1
"33","A-003","Pre-Exposure","C03","3.5","3.5","15.12","1","NO ANSWER","day",0
"34","A-003","Pre-Exposure","C04","0","0","15.061","0","NO ANSWER","pot",0
"35","A-003","Pre-Exposure","C05","4.465","4.465","15.183","1","NO ANSWER","blind",0
"36","A-003","Pre-Exposure","C06","3.091","3.091","7.801","1","candle","candle",1
"37","A-003","Pre-Exposure","C07","6.323","6.323","14.147","1","bag","cart",0
"38","A-003","Pre-Exposure","C08","3.128","3.128","15.124","1","NO ANSWER","camp",0
"39","A-003","Pre-Exposure","C09","11.468","11.468","15.021","1","station","station",1
"40","A-003","Pre-Exposure","C10","5.251","5.251","10.037","1","mark","mark",1
"41","A-003","Pre-Exposure","C11","2.598","2.598","15.22","1","gate","gate",1
"42","A-003","Pre-Exposure","C12","11.388","11.388","15.141","1","post","field",0
"43","A-003","Pre-Exposure","C13","3.377","3.377","15.019","1","NO ANSWER","tow",0
"44","A-003","Pre-Exposure","C14","6.732","6.732","15.153","1","NO ANSWER","salad",0
"45","A-003","Pre-Exposure","C15","4.267","4.267","15.022","1","NO ANSWER","lip",0
"46","A-002","Immediate Post-Exposure","C01","7.502","7.502","12.62","1","Sore","sore",1
"47","A-002","Immediate Post-Exposure","C02","9.283","9.283","15.173","1","Chair","chair",1
"48","A-002","Immediate Post-Exposure","C03","5.104","5.104","10.521","1","Dawn","day",0
"49","A-002","Immediate Post-Exposure","C04","4.614","4.614","10.29","1","Pot","pot",1
"50","A-002","Immediate Post-Exposure","C05","2.793","2.793","13.795","1","Street","blind",0
"51","A-002","Immediate Post-Exposure","C06","6.598","6.598","12.092","1","Candle","candle",1
"52","A-002","Immediate Post-Exposure","C07","2.598","2.598","12.761","1","Barrel","cart",0
"53","A-002","Immediate Post-Exposure","C08","3.443","3.443","10.063","1","Camp","camp",1
"54","A-002","Immediate Post-Exposure","C09","4.94","4.94","13.782","1","Hore","station",0
"55","A-002","Immediate Post-Exposure","C10","2.805","2.805","6.177","1","Mark","mark",1
"56","A-002","Immediate Post-Exposure","C11","3.903","8.911","10.753","2","tide","gate",0
"57","A-002","Immediate Post-Exposure","C12","5.004","5.004","15.071","1","NO ANSWER","field",0
"58","A-002","Immediate Post-Exposure","C13","9.291","9.291","14.733","1","Fire","tow",0
"59","A-002","Immediate Post-Exposure","C14","5.078","5.078","8.718","1","Fish","salad",0
"60","A-002","Immediate Post-Exposure","C15","3.227","3.227","15.057","1","NO ANSWER","lip",0
"61","A-001","Immediate Post-Exposure","B01","1.214","2.99","6.093","3","watch","watch",1
"62","A-001","Immediate Post-Exposure","B02","1.537","3.936","8.675","3","bill","bill",1
"63","A-001","Immediate Post-Exposure","B03","0.769","6.903","10.279","4","candy","sugar",0
"64","A-001","Immediate Post-Exposure","B04","1.077","2.793","15.079","3","bend","bank",0
"65","A-001","Immediate Post-Exposure","B05","0.996","5.554","6.901","4","space","space",1
"66","A-001","Immediate Post-Exposure","B06","1.221","8.338","11.122","5","bowl","bowl",1
"67","A-001","Immediate Post-Exposure","B07","1.124","9.359","11.565","6","ball","ball",1
"68","A-001","Immediate Post-Exposure","B08","0.68","7.003","15.103","3","bed","gas",0
"69","A-001","Immediate Post-Exposure","B09","0.666","4.975","15.179","3","pot","dog",0
"70","A-001","Immediate Post-Exposure","B10","0.618","11.192","15.068","4","ful","air",0
"71","A-001","Immediate Post-Exposure","B11","0.983","11.208","15.072","4","room","check",0
"72","A-001","Immediate Post-Exposure","B12","1.301","8.283","11.844","4","post","post",1
"73","A-001","Immediate Post-Exposure","B13","1.335","5.771","15.079","5","steam","steam",1
"74","A-001","Immediate Post-Exposure","B14","1.14","8.764","15.081","5","dip","jelly",0
"75","A-001","Immediate Post-Exposure","B15","0.615","8.417","15.072","7","suit","broad",0
"76","A-003","Immediate Post-Exposure","A01","8.162","8.162","11.415","1","house","boat",0
"77","A-003","Immediate Post-Exposure","A02","2.907","2.907","6.179","1","honey","honey",1
"78","A-003","Immediate Post-Exposure","A03","2.859","2.859","8.988","1","pin","pin",1
"79","A-003","Immediate Post-Exposure","A04","14.666","14.666","15.005","1","NO ANSWER","blue",0
"80","A-003","Immediate Post-Exposure","A05","3.863","3.863","6.76","1","soap","soap",1
"81","A-003","Immediate Post-Exposure","A06","2.603","2.603","15.108","1","NO ANSWER","fast",0
"82","A-003","Immediate Post-Exposure","A07","5.302","5.302","15.115","1","NO ANSWER","copy",0
"83","A-003","Immediate Post-Exposure","A08","0.247","8.166","15.115","3","NO ANSWER","saw",0
"84","A-003","Immediate Post-Exposure","A09","0","0","15.12","0","NO ANSWER","top",0
"85","A-003","Immediate Post-Exposure","A10","5.366","5.366","15.006","1","NO ANSWER","pack",0
"86","A-003","Immediate Post-Exposure","A11","5.878","5.878","15.006","1","NO ANSWER","under",0
"87","A-003","Immediate Post-Exposure","A12","3.835","3.835","14.445","1","pick","sweet",0
"88","A-003","Immediate Post-Exposure","A13","2.891","2.891","15.113","1","school","suit",0
"89","A-003","Immediate Post-Exposure","A14","13.514","13.514","15.111","1","line","battle",0
"90","A-003","Immediate Post-Exposure","A15","3.925","3.925","11.052","1","power","power",1
"91","A-009","Pre-Exposure","C01","0.939","7.671","8.964","3","Sore","sore",1
"92","A-009","Pre-Exposure","C02","1.299","9.388","10.064","4","Chair","chair",1
"93","A-009","Pre-Exposure","C03","0.389","8.989","9.634","4","Day","day",1
"94","A-009","Pre-Exposure","C04","0.618","5.462","6.511","3","Pot","pot",1
"95","A-009","Pre-Exposure","C05","7.3","12.4","15.025","5","NO ANSWER","blind",0
"96","A-009","Pre-Exposure","C06","0.75","11.434","15.12","4","Magic","candle",0
"97","A-009","Pre-Exposure","C07","0.609","2.757","9.559","2","Cart","cart",1
"98","A-009","Pre-Exposure","C08","1.135","3.667","8.751","2","Camp","camp",1
"99","A-009","Pre-Exposure","C09","2.517","10.161","13.413","2","Band","station",0
"100","A-009","Pre-Exposure","C10","0.68","11.096","15.125","6","NO ANSWER","mark",0
"101","A-009","Pre-Exposure","C11","0","0","0","0","NO ANSWER","gate",0
"102","A-009","Pre-Exposure","C12","0.778","5.264","11.818","3","Focus","field",0
"103","A-009","Pre-Exposure","C13","0.784","4.361","5.279","3","Tow","tow",1
"104","A-009","Pre-Exposure","C14","0.642","6.766","10.552","2","Cook","salad",0
"105","A-009","Pre-Exposure","C15","0.707","9.377","10.164","3","Aid","lip",0
"106","A-006","Pre-Exposure","C01","2.268","3.74","9.851","2","Sore","sore",1
"107","A-006","Pre-Exposure","C02","2.855","2.855","6.532","1","Horse","chair",0
"108","A-006","Pre-Exposure","C03","2.723","3.538","8.853","2","Day","day",1
"109","A-006","Pre-Exposure","C04","5.052","5.052","12.617","1","Irish","pot",0
"110","A-006","Pre-Exposure","C05","7.262","10.223","15.124","2","NO ANSWER","blind",0
"111","A-006","Pre-Exposure","C06","5.361","5.361","10.172","1","Candle","candle",1
"112","A-006","Pre-Exposure","C07","5.35","5.35","11.291","1","Bag","cart",0
"113","A-006","Pre-Exposure","C08","5.25","6.707","13.699","2","Green","camp",0
"114","A-006","Pre-Exposure","C09","3.671","6.198","15.075","3","head","station",0
"115","A-006","Pre-Exposure","C10","2.003","3.903","14.318","2","Hard","mark",0
"116","A-006","Pre-Exposure","C11","6.302","6.302","15.025","1","Head","gate",0
"117","A-006","Pre-Exposure","C12","7.469","12.606","15.139","2","St","field",0
"118","A-006","Pre-Exposure","C13","0.373","12.671","15.131","5","Tow","tow",1
"119","A-006","Pre-Exposure","C14","6.564","14.397","15.017","4","Fish","salad",0
"120","A-006","Pre-Exposure","C15","3.961","3.961","12.619","1","Guide","lip",0
"121","A-013","Pre-Exposure","A01","0.671","10.344","15.136","2","NO ANSWER","boat",0
"122","A-013","Pre-Exposure","A02","0.413","1.964","8.569","2","honey","honey",1
