PID,Date_HH,Time_HH,Code,Condition,Delirium,Take13,MachShop,Crypt
A-001,10/6/2021,06:15pm,0,Control,Control,Control,Control,Control
A-002,10/6/2021,06:15pm,0,Control,Control,Control,Control,Control
A-003,10/6/2021,06:15pm,0,Control,Control,Control,Control,Control
A-006,10/7/2021,06:15pm,0,Control,Control,Control,Control,Control
A-009,10/7/2021,06:15pm,0,Control,Control,Control,Control,Control
A-011,10/7/2021,07:30pm,1,Test,Control,Control,Test,Share
A-012,10/7/2021,07:30pm,1,Test,Control,Control,Test,Share
A-014,10/7/2021,07:30pm,1,Test,Control,Control,Test,Share
A-013,10/7/2021,07:30pm,1,Test,Control,Control,Test,Share
A-016,10/7/2021,08:30pm,0,Control,Control,Control,Control,Control
A-004,10/7/2021,08:30pm,0,Control,Control,Control,Control,Control
A-018,10/7/2021,08:30pm,0,Control,Control,Control,Control,Control
A-019,10/7/2021,08:30pm,0,Control,Control,Control,Control,Control
A-020,10/7/2021,08:30pm,0,Control,Control,Control,Control,Control
A-021,10/12/2021,06:15pm,0,Control,Control,Control,Control,Control
A-022,10/12/2021,06:15pm,0,Control,Control,Control,Control,Control
A-024,10/12/2021,06:15pm,0,Control,Control,Control,Control,Control
A-025,10/12/2021,06:15pm,0,Control,Control,Control,Control,Control
A-026,10/12/2021,07:30pm,2,Share,Control,Control,Share,Test
A-027,10/12/2021,07:30pm,2,Share,Control,Control,Share,Test
A-028,10/12/2021,07:30pm,2,Share,Control,Control,Share,Test
A-029,10/12/2021,07:30pm,2,Share,Control,Control,Share,Test
A-030,10/12/2021,07:30pm,2,Share,Control,Control,Share,Test
A-005,10/12/2021,08:30pm,2,Share,Control,Control,Share,Test
A-032,10/12/2021,08:30pm,2,Share,Control,Control,Share,Test
A-033,10/12/2021,08:30pm,2,Share,Control,Control,Share,Test
A-034,10/12/2021,08:30pm,2,Share,Control,Control,Share,Test
A-035,10/12/2021,08:30pm,2,Share,Control,Control,Share,Test
A-081,10/13/2021,06:15pm,0,Control,Control,Control,Control,Control
A-066,10/13/2021,06:15pm,0,Control,Control,Control,Control,Control
A-083,10/13/2021,06:15pm,0,Control,Control,Control,Control,Control
A-039,10/13/2021,06:15pm,0,Control,Control,Control,Control,Control
A-040,10/13/2021,06:15pm,0,Control,Control,Control,Control,Control
A-082,10/13/2021,07:30pm,2,Share,Control,Control,Share,Test
A-042,10/13/2021,07:30pm,2,Share,Control,Control,Share,Test
A-043,10/13/2021,07:30pm,2,Share,Control,Control,Share,Test
