Values,Attention Deployment,Response Modulation,Reappraisal,Correct,Reg,RegDesc,EventKey,EventDesc,Emotion,Intense
3447,1,0,1,1,Decrease,By staying focused on what was in front of me and remembering they were all just people in costumes.,axe,"The person at the beginning had all white eyes, was wearing a red outfit, and was cutting off each group with a bloody hand saw that she had in her hand. ",worried,3
3435,1,0,0,1,Decrease,I ignored the actors who would get in my face with props like a chainsaw.,Cautious,The other event I recall was a false door that opened and a hand sticking out. I remembered this moment because the person almost touched me.,worried,2
3429,0,0,0,1,Decrease,By running through the section and holding my groups hands.,hanging,"There were hanging bodies from the ceiling towards the end, they were dangling with chains upside down swinging back and forth. There were black and white strobe lights going in and out.",worried,3
3426,0,0,1,1,Decrease,telling myself they were just actors dressed up and in makeup and weren't real monsters,jail cells,The monsters in the jail cells would hide and then just randomly walk up next to us as we were walking through the section. ,worried,2
3420,0,0,1,1,Decrease,by telling myself its fake ,anxiety,the man started walking behind us down the ramp with a chain saw. there was a smell of gas ,worried,2
3419,0,0,0,1,Decrease,a little fake whine,Gasoline,The second emotion I felt was anxiety to be honest! not knowing if there is anther chainsaw coming around the corner was really scary ,worried,1
3415,0,0,1,1,Decrease,reduced it by reminding myself it was not real,dark,walking inside then out of the abandoned bus with music playing it was the very beginning of the attraction.,worried,3
3413,1,0,0,0,Decrease,I chose to ignore the worry I felt about my researchers laptop by immersing myself into the scene of the crypt,bus,"going through the school bus with all of the flashing whitE lights and combination of dummies and real actors in the seats. there was a dummy woman with ratty long blonde hair in a stiff downward facing position in the first seat on the left side of the bus. it made me think of marching band, which was the last time i regularly took the school bus my senior year of high school. we walked in a single file line within our group, and i was the last person. a few of the actors yelled out at us and it made me giggle.

",worried,1
3409,0,0,0,1,Decrease,I tried the move away from the man,Chainsaw,A large man outside of the Machine Shop entrance ran at us with a chainsaw.,worried,3
3367,0,0,0,0,Decrease,It was just a vivid part of the tour for me because it smelled like a real chainsaw and I was scared that it would accidentally cut me. ,smelly,Chainsaw,weird,2
3357,0,0,0,0,Increase,I was very observant of everything occurring around me.,Jungle,I remember walking through the body parts hanging from the ceiling because one of them brushed against me and I was not used to being touched by anything. I also had to manuevere through the parts.,watchful,4
3331,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",shower/tub,body parts in a shower/tub ,upset,1
3309,1,0,0,0,Decrease,I tried to reduce this by gathering my bearings better and be more aware of what was around me. ,Bus,"Getting on the bus was scary because there were flashing lights and fake bodies in the seats and I was very sure that one of them was going to be real. Fortunately, there were no real people that jumped out. I also found it hard to walk through the bus because of the flashing lights so I was falling into the seats. ",unstable,4
3305,0,0,0,0,Increase,I looked around for things in the Bus that could potentially jump out ,Bus,The man hiding at the back of the bus who jumped out at me,unsettled,3
3297,0,0,0,1,Increase,I jumped out at my friend & pretended to scare her so that she would also be on edge ,Corridor,"There was a long corridor with nothing in it other than darkness and smoke, but occasionally people would be lurking in the corners & would pop out.",unsettled,3
3276,0,0,0,0,Decrease,look around at friends,creepy,walking through the hallway with the jail cells and the actors jumping thru the cells,unhappy,0
3274,1,0,0,1,Decrease,"As stated, I tried to focus on my general situational awareness but the loud sound kept forcing me to look back towards the cage and not at my surroundings.",Cage,"In the Crypt when we got to the cell block that hanging box with the flashing bright blue/green/white light caught my attention.  I felt I could stare at this a bit longer because I was not fearful anything was going to come out because of how bulky, heavy looking and buttoned up (in terms of appearing secured) it was.  I also remember it being very loud banging/clanging and I feel I could not hear anything else going on besides what was in there. ",unfocused,3
3261,1,0,0,0,Decrease,i tried to focus on walking through and holding onto the sides,unsettling,the moving floorboards,uneasy,3
3256,0,0,0,1,Decrease,standing tall and keeping my  head forward,Gasoline,The second emotion I felt was anxiety to be honest! not knowing if there is anther chainsaw coming around the corner was really scary ,uneasy,2
3251,1,1,0,0,Decrease,"reassured myself, sang to myself, talking to myself",bus,"the aluminum bus; there were strobe lights and dummys of people in some of the seats in either sides. there were two live people sitting on either side of the bus sitting near the middle. on the left was an African American man with dreds and on the right side there was a person with long brunette hair in front of their face. wwe made it to the end of the bus in a single file line with the man with dreds following us, but other than that the actors did not interact",uneasy,2
3240,1,0,0,1,Decrease,looked straight ahead and tried to distract myself ,unpredictable,Walking through the bus and seeing a couple people sitting with their face down. I was scared because I didn't know of the person was real or not. ,uneasy,3
3223,0,0,1,0,Increase,Imagining what it took to stage the exhibit,Tablesaw,"The hand in the table saw made my skin crawl a bit, both because it is one of those freak accidents I am prone to have intrusive thoughts about and it was paired with hearing someone say ""I can smell your flesh burn""",underwhelmed,1
3221,1,0,0,1,Increase,focused on the set up of the space,Demon,We walked into the demon room and I realized we were on the second floor of one of the halls.  I could see the big demon puppet hanging from the ceiling.  I really appreciated how they were using the architecture.  Dara let go of my hands on the way down the stairs because I was ging too fast.,understanding,3
3220,0,0,0,0,Decrease,The meaning of the crushing machine was unsettling to me and I did not want to dwell on it.,Unsettling,"The most emotionally evocative was the smashing machine. There was someone beside it saying about the smashing machine, but I didn't pay attention because it was dawning on me what the machine was, and I could see the gore as we entered the room. It was emotional for me because, more than anything else in the shop, this piece degraded humans into mush and goo, which is very striking for me. It truly got to the point where I was a little uncomfortable.",understanding,2
3216,0,0,0,1,Decrease,by finding my group ,frightened,there was a man who slide open a window and popped out. in a skinny hall way.,uncomfortable,3
3215,0,0,0,1,Decrease,moving quickly ,scientist,there was a mad scientist screaming nonsense.,uncomfortable,1
3213,0,1,1,0,Decrease,calm myself down by reminding myself its fake,stalked,have characters follow you as you go to the next event ,uncomfortable,3
3206,0,0,1,1,Decrease,Reminding myself it was fake and moving through the room faster,Tablesaw,"The hand in the table saw made my skin crawl a bit, both because it is one of those freak accidents I am prone to have intrusive thoughts about and it was paired with hearing someone say ""I can smell your flesh burn""",uncomfortable,2
3203,0,0,0,1,Decrease,I tried to get more comfortable by distancing myself from the attraction that was scaring me. ,claustrophobic ,The third event I can remember is the bodies hanging upside-down overhead. There was many of them and we struggled to walk through without them touching which scared us. ,uncomfortable,4
3197,0,0,0,1,Decrease,I closed my eyes and ran out of the room. ,claustrophobic ,The third event I can remember is the bodies hanging upside-down overhead. There was many of them and we struggled to walk through without them touching which scared us. ,uncomfortable,4
3190,1,0,0,0,Decrease,I attempted to reduce by uncertainty by examining people in front of me.,frightening ,The first emotionally evocative even that occurred within the Crypt was a character in black and white mask appearing with a weapon ,uncertain,3
3182,0,0,0,1,Decrease,acknowledging what I was seeing,Intrusive,actors getting significantly close to me,uncertain,1
3173,0,0,0,1,Decrease,get out of the room,Moving FLoor,the floor boards moving.  It wasn't evident to look at but we stepped on the boards ad they started moving underneath us.  there were a few in series and then they ended,unbalanced,2
3163,1,0,0,1,Decrease,Try to look closely , discombobulating ,strobe lights ,unaware,3
3162,0,0,0,1,Decrease,Not that much ,scream,an actress was scaring a girl in front of me and she would not of let her to go and let everyone else in the group go.,unamused,2
